symbol,name,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d
SSLX,StarSlax,0.0032103029055731013,527381.96635836,0.0,0.0359926,-2.15350205,-25.63662755,-9.12010566,75.69225611,61.9599189
WBC,WorldBrain Coin,0.020580147652224275,527419.63329028,0.0,-0.04247008,-1.29949236,-10.19990873,-63.50981463,-75.61498076,-70.81963569
SPX2.0,SPX6900 2.0,0.0034371987020690685,528714.29821081,0.0,23.86476553,197.96455725,909.477988,877.97886576,35.11542304,-50.94347232
BEPE,BEPE,0.013188477871483261,532430.21513049,0.0,0.34461681,4.51285676,21.29194313,-9.48353547,-9.48353547,-9.48353547
HIGHER,Higher,0.01334417045501806,536831.63902429,0.0,-1.89969327,-3.09898813,3.73855537,-60.22196572,-60.3683311,72.67382594
ETHS,Ethscriptions,0.5861981909548214,537035.65717161,0.0,-1.04977146,-5.89832804,-20.78023746,-66.19078696,-50.55141979,-46.08839249
SQD,Subsquid,0.058133769035669,540497.88616104,0.0,-0.08029438,18.75494733,17.4851378,-19.69979704,96.62544464,36.03991064
ECHO,EchoLink Network,0.13905269051610206,541299.55221878,0.0,-0.03214186,0.94121585,10.20874585,66.82718317,12.12380264,18.92042178
MTS,META PLUS TOKEN,0.006286240307921245,542909.63110303,0.0,0.45615937,-6.15437218,-17.17632826,-14.80298089,-25.47836466,-41.79064473
DOGGO,Doggo (doggocto.com),2.6258859635940345e-06,567768.55494036,0.0,0.27823457,-0.14173458,10.10857778,-57.3770885,-63.7589985,-90.55507107
LOS,Lord Of SOL,4.521076984197308e-05,546709.07389605,0.0,-1.04471198,1.54640686,12.65365373,-15.77090952,-5.09853391,25.65977337
SEIYAN,Seiyan Token,0.006493154348941932,548002.3621399,0.0,0.35450375,-8.41774767,12.47494152,-47.55929402,-42.20618857,-31.85638339
ABEY,Abey,0.12842870389853112,550148.49796593,0.0,0.003567,1.02831663,-2.81634918,-10.71457081,-2.46349448,-29.44487024
ALB,Alien Base,0.24864970944909148,551034.04722462,0.0,-0.54226352,1.12200433,17.42510684,-43.2134044,-10.82990347,253.6955771
VSC,Vyvo Coin,0.012154971986011277,556402.8077961,0.0,-0.30790306,-9.25594425,20.21643462,-7.73246338,-8.234223,-12.80784951
HDRO,Hydro Protocol,0.06853616846477431,560224.00653997,0.0,-0.10231597,7.03423056,51.95048193,26.52353884,76.73562549,66.02145854
OMIRA,Omira,0.08235701254673027,562599.58522869,0.0,-3.88587441,-2.29970745,52.59985388,36.93652798,36.93652798,36.93652798
ROSS,Ross Ulbricht,0.022842378142881536,562730.94944021,0.0,0.57136706,8.12544814,0.74730894,90.69793119,950.61727936,950.61727936
SERAPH,Seraph by Virtuals,0.02350817626017878,563890.43252214,0.0,5.66297919,0.30437045,31.28305426,26.73031325,26.73031325,26.73031325
MARSO,Marso.Tech,0.002655597249485152,564222.68745075,0.0,0.04527978,1.14077242,13.33295289,34.00762717,286.4395335,286.4395335
W3S,Web3Shot,0.02560538548446969,566005.70244115,0.0,-0.13481608,3.94017568,-10.63780673,7.79550821,-90.93764224,-87.01237207
HAROLD,Harold,0.020718819838719114,566895.75725577,0.0,-1.66206805,-4.63224277,-8.30983485,572.25801023,3943.34222307,3943.34222307
IQ50,IQ50,3.5645573151247167e-06,567539.29270793,0.0,2.45703821,3.73940335,10.77655133,-40.83968668,-42.32768289,-28.0179429
BOB,BOB,1.6542176060139373,643762.67654575,0.0,3.31487748,24.53516875,44.19536047,213.91029171,719.03905597,1133.12839257
DEXNET,DexNet,0.0616757570303047,644710.09080006,0.0,0.49219101,-3.29823836,-0.67851591,-15.1872228,11.6911141,9.48175501
SMOLE,smolecoin,5.038035934932579e-05,807842.23797256,0.0,-0.3306456,3.48404321,14.16181816,-12.06533181,3.59940099,37.40477062
DSC,DSC,0.006431135682121372,748956.68426699,0.0,0.40887804,-1.66800009,-8.98960052,-14.03603396,20.52928539,-29.85722701
TGRASS,Top Grass Club,0.053183748189317766,722254.89372844,0.0,2.73001179,0.06780006,-6.41005136,431.699249,828.58452073,828.58452073
OKT,OKT Chain,10.380779339874822,723599.63886365,0.0,-0.1905244,1.18558645,4.78234737,-21.97053239,47.59843242,41.23255945
WFI,WeFi,0.33967313824035517,724612.91677359,0.0,1.85663189,4.65756135,15.54855189,36.73664663,51.81407679,51.81407679
KASPY,Kaspy,2.577317605613749e-05,726482.59661255,0.0,2.70306549,-1.8115904,5.4801492,-62.76143208,6.43111597,-70.61331306
GOUT,GOUT,0.0002533453682098216,726990.05227211,0.0,0.41323169,-1.67010205,-23.16993794,-14.74741961,535.92947337,535.92947337
BAR,Gold Standard,0.8434695042999468,727512.26488829,0.0,-0.10907232,-0.87180805,-18.62385955,-45.25898162,-58.82829282,-30.53636732
HOLD,HoldCoin,0.0010795424174184839,728372.41969705,0.0,-0.62187403,-11.29863098,-36.58354247,-62.4421029,-62.4421029,-62.4421029
DORA,DORA AI by Virtuals,0.00820466102312019,740039.66843416,0.0,-0.73121422,10.21793514,-43.88616981,122.17556385,122.17556385,122.17556385
SEAL,Seal,0.48877784487933446,740319.93587186,0.0,-0.79008546,0.18722788,-8.58901664,-25.9874852,129.58103619,35.72170091
NLK,NuLink,0.020220611184392983,741286.30577956,0.0,-1.32270173,8.11669277,8.55457324,-16.97871862,24.05439011,104.02666838
NEOTECH,NEOT,0.025438645838196782,744420.27145291,0.0,-13.87292947,-34.65027102,-39.99739505,-22.47135438,-22.47135438,-22.47135438
NFTXBT,nftxbt by Virtuals,0.016004130623163953,745559.8767277,0.0,0.47310886,3.85757372,20.30659301,19.17035978,19.17035978,19.17035978
TBC,Ten Best Coins,14490.312550656203,746972.46882333,0.0,-0.16642572,1.27589605,14.77064945,-8.19166711,81.73368864,121.66992384
FEARNOT,FEAR NOT,3.906862775781577e-06,748888.23461947,0.0,-2.11786646,6.47860173,154.10525521,95.62085391,65.28285274,-9.92331408
LOKY,Loky by Virtuals,0.00539422034686016,714208.73017701,0.0,-3.48361514,19.89845504,5.37487591,-2.38694854,-2.38694854,-2.38694854
UMM,UMM,2.747938880786945,754444.41637005,0.0,0.33990629,1.91017357,11.85179753,69.67968455,129.69407504,62.61713365
FMC,Fame AI,0.0032601995811453906,767491.2422546,0.0,0.82272562,-5.47560731,-3.48520691,373.5531367,1112.47695967,1032.91988812
TMAI,Token Metrics AI,0.005983890942248,769435.91300218,0.0,-1.21221927,5.7212271,-3.56730996,-9.05097747,-9.05097747,-9.05097747
SG,SocialGood,0.20438458372955984,772876.06327782,0.0,0.25089035,0.40469671,10.68887227,-12.05344767,-18.23325273,-7.94779754
BEBE,BEBE,1.8386692274185632e-05,775699.83354818,0.0,1.44566286,13.22759149,9.96522429,-72.42254514,-89.05667997,-96.79308155
$ECET,Evercraft Ecotechnologies,0.03367959741076968,783397.77410887,0.0,0.48514567,3.50623785,3.90503005,-22.91865131,30.47714918,9.39502395
PEAS,Peapods Finance,10.033826393003043,785603.93218153,0.0,0.11388311,1.90923246,28.6545442,0.60351304,87.53855667,223.44139749
1CAT,Bitcoin Cats,0.0014999435910980614,792920.11004447,0.0,0.08646954,-0.22345289,-1.82539481,-39.43139845,4.19759953,-2.61806947
LEMX,LEMON,58.77910353559857,795831.82210623,0.0,-1.20722865,-2.00851869,5.80143097,5.09706805,16.27918835,55.43418993
BOOMER,Boomer,0.004956412699950179,796133.08989499,0.0,1.00894798,-9.852608,-8.77344084,-67.19762106,-20.91950483,18.29652277
PDX,PDX Coin,185.07576657247884,805967.67748179,0.0,0.04314366,0.30771935,0.35761949,-3.17351523,-2.51613821,-0.86296481
SMART,SMART,0.0023300577045044907,806270.61623223,0.0,-0.23644385,1.02709441,15.58026163,21.94308894,-3.11049924,12.94907735
DOPU,DOPU The Dog with A Purpose,0.0028029690333537033,806604.31502153,0.0,-1.86084915,2.63315822,30.34350023,47.03580677,54.81391635,161.90426114
ZETRIX,Zetrix,18.511391400029606,719219.74445396,0.0,0.04566521,-0.98230824,4.33137235,-11.94603871,3.06471193,17.68697643
CIRX,Circular Protocol,0.004002018843195948,711370.01909008,0.0,0.13860646,3.88004948,10.42096982,8.10150323,9.68930375,16.05848149
SUMMIT,Summit,0.0004483110666535647,644806.44228332,0.0,0.06638635,1.66835585,16.81448944,99.54426595,244.14293454,265.13024966
VELAR,Velar,0.048684245227925124,678554.52730599,0.0,1.16282371,8.44337614,-4.17815183,-50.72829586,-21.19695358,-13.57278887
SETAI,SETAI Agents,0.051379792365768215,653477.55890147,0.0,1.65619932,23.79611223,38.44269479,38.44269479,38.44269479,38.44269479
GPRO,GoldPro Token,60.07154672107334,656530.05351788,0.0,0.04711397,0.04854173,-21.96683005,102.19329644,43.54885693,-7.10343991
CATALORIAN,Catalorian (CatalorianOGETH),0.005825079696445085,656710.13211661,0.0,0.131296,-4.87257884,26.75996508,-36.51474712,47.42230176,98.24763768
HERIA,Astheria,0.0005379344001048958,657899.03809788,0.0,8.7337084,-44.42413146,-84.58327487,-63.31399946,-63.31399946,-63.31399946
KHAI,Kitten Haimer,0.223554854076617,662960.58385632,0.0,1.3098973,2.82975989,7.55575415,-59.27040095,-38.56513592,-50.27555093
FIT,300FIT NETWORK,0.00033718234447387504,668372.60276627,0.0,0.58626499,3.4084603,2.31226093,-41.32961342,-28.76094591,-37.17533345
PUPPIES,I love puppies,1.5824097758753545e-07,664314.29404123,0.0,-1.59520123,10.3390042,-2.71875329,-53.91951462,282.66040105,173.00226713
AGETH,Kelp DAO's Airdrop Gain ETH,3775.560635235403,664591.10859245,0.0,-0.34022852,1.41805052,10.1862263,-8.00707687,28.81798782,51.65255806
ROCKET,AI ROCKET by Virtuals,0.014393834334368718,668471.86159024,0.0,-5.71330565,-6.45656679,-24.26612624,-24.26612624,-24.26612624,-24.26612624
JOE,Joe coin,0.03866022861332399,670444.47223705,0.0,-4.22365797,0.57542887,37.05271103,-34.24109272,-29.94609709,2.27150041
LIXX,Libra Incentix,0.0016459973149704932,672017.06128829,0.0,0.03215921,0.7497846,-1.03850346,29.39658508,31.02219718,28.09644844
U2U,U2U Network,0.008356178067429346,676542.29366359,0.0,-0.1138137,-2.39456706,7.19114005,-48.88838649,-48.88838649,-48.88838649
LIF3,LIF3,0.005860293785696952,676477.10148869,0.0,1.37945046,1.16084511,1.45718502,-59.46552847,-52.69491923,69.93410884
SORA,Sora,0.0011410337420376944,679748.91912569,0.0,-0.2288416,1.56519046,12.13505623,-60.39704457,-9.75076027,-6.47793054
DOGINME,doginme,0.00032387110596398015,707940.13817517,0.0,3.21360219,-1.68452289,0.46006561,-63.3450367,31.9894792,7.24563135
PEP,Pepecoin,0.0006144608065452803,685885.0964348,0.0,3.43041512,33.35249789,-32.81774736,11.64467321,1307.39103372,2106.70971752
XPET,xPET tech,0.06335272839259912,686174.3042049,0.0,0.12817954,0.12828574,5.41513531,-13.17770668,7.09436675,21.69108145
LAVA,Lava Network,0.17693888348222517,688603.44648353,0.0,0.58225126,1.47006618,63.55526835,78.07591078,117.72319704,124.80162363
DAPP,Pencils Protocol,0.09524052331624214,690668.91577384,0.0,2.30047285,6.76145776,16.10470577,-45.71875227,-41.65847539,-57.22361017
DOG,DogeSwap,0.00711752410167603,692342.77870855,0.0,-1.48794215,-2.6520163,23.09457012,-14.54888372,64.30619425,92.33341804
QANX,QANplatform,0.05285051367789105,691976.02142821,0.0,0.4210238,-1.88758566,-20.119219,5.58538404,109.02568692,95.92329803
TRUMP,Donald Trump,0.0032035153762327915,695891.48582087,0.0,3.46335097,16.16336945,76.8053583,46.0519917,182.26623222,73.77474629
KNOT,Knot Diffie-Hellman,0.005869420498143313,697005.10678787,0.0,15.25903347,-18.77253468,101.19123692,29.71286971,29.71286971,29.71286971
AEROBUD,Aerobud,0.025234915066931197,700192.80156182,0.0,0.32193774,-5.444492,0.73066775,-56.20046259,2664.11236898,4008.13293465
METANIA,MetaniaGames,0.031874370241333994,700535.47471551,0.0,0.22402383,0.12530901,-1.52799983,-5.7460126,-5.7460126,-5.7460126
NEXT,Everclear,0.09916882277142011,701366.01369146,0.0,0.45366544,2.85467523,-2.66650267,-29.3320774,-6.23372432,-17.66913978
ROCK,Rock Dao,0.0008025088451056043,703755.77861822,0.0,0.11316548,-4.87859967,-13.83883699,-9.61574305,28.41101004,-4.74635041
QAI,QuantixAI,87.68989907555638,706199.91991121,0.0,0.18647428,3.47095552,8.42763805,-8.23403796,-10.08438104,11.93517174
MARVIN,Marvin Inu (ETH),2.1015259997097654e-05,1473227.08730376,0.0,0.78724122,29.91756338,-1.46341753,-49.84310183,379.71094824,101.73875428
SMART,Smart Game Finance,0.0023231845787340523,1480911.68467184,0.0,-0.25192178,0.93958735,15.63280208,22.1619249,-3.61399715,11.58900019
MMSS,MMSS (Ordinals),0.018112918625556182,516203.7779427,0.0,0.0051247,-8.50536713,-21.44131536,-52.11831311,-29.27575453,-50.35775838
aUSDT,aUSDT,1.0003870793421121,1482308.78396964,0.0,0.00155497,0.00529239,0.14589822,0.17315083,0.02389261,0.21172781
FARM,FARM,60.04817546726295,5770089.49109277,0.0,-4.09464848,-2.65506313,22.9002603,105.87660309,105.87660309,105.87660309
EGP,Eigenpie,2.8066583765086897,5832787.12942522,0.0,1.51419657,-6.09277196,-16.09686815,-30.20662945,26.52859499,-17.62726643
CULT,Milady Cult Coin,0.002021797286125377,5835025.65297893,0.0,2.46972244,-5.14181569,-23.64373111,-67.16672437,-67.16672437,-67.16672437
CELA,Cellula,0.023590633177153264,5974862.42877004,0.0,0.55570339,1.22538784,-10.1934248,-46.49662368,-32.30897753,-32.30897753
FURM,Furmula,0.03250966439816071,6021046.3496379,0.0,4.41532425,-0.65326539,7.34313279,3.81715215,3.81715215,3.81715215
ASTO,Altered State Token,0.05623776027007033,6061377.92013206,0.0,-0.30450866,-4.37492126,63.31298229,44.70528557,436.85870019,379.18560843
BEATS,Sol Beats,0.019373750592805203,6172585.81890074,0.0,-15.95417742,-25.67071878,-86.02340511,-88.81703699,-85.53877497,-81.67939173
SEND,Sendcoin,0.0869561691377188,6192857.94425572,0.0,-4.21340806,9.60779362,35.91406724,7.12684809,7.12684809,7.12684809
NRN,Neuron,0.24131779195720485,6248446.52884539,0.0,0.75299796,41.74549453,36.12326222,20.62560149,460.91338641,485.85231557
AGENT,AgentLayer,0.05450686556317025,6272658.83354645,0.0,1.39285031,12.03399861,21.77189219,-25.39625249,54.47975465,303.60662024
